id,image_url,page_url,Title,Actors,Production,Director,Release_date,Genre,Awards,Critic_Score,Runtime
371000,https://m.media-amazon.com/images/M/MV5BOTI2NDU3NjI1NV5BMl5BanBnXkFtZTgwMTczNTM0MTE@._V1_SX300.jpg,https://www.imdb.com/title/tt2525576/,Killing Winston Jones,"Richard Dreyfuss, Danny Masterson, Danny Glover, Jon Heder",N/A,Joel David Moore,N/A,Comedy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A
371001,https://m.media-amazon.com/images/M/MV5BNDU0M2I2YWUtNzdmYi00MmJkLWFkY2MtZjkxMTI3NzllNWJhXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,https://www.imdb.com/title/tt2525596/,Ah Boys to Men,"Tosh Zhang, Weiliang Wang, Noah Yap, Charlie Goh",N/A,Jack Neo,08 Nov 2012,Comedy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",110 min
371002,N/A,https://www.imdb.com/title/tt2525598/,A Will to Win,N/A,N/A,N/A,N/A,"Documentary, Sport",N/A,[],90 min
371003,N/A,https://www.imdb.com/title/tt2525608/,Firth on Firth,"Raymond Firth, Rosemary Firth",N/A,"Rolf Husmann, Peter Loizos, Werner Sperschneider",N/A,Family,N/A,[],49 min
371004,N/A,https://www.imdb.com/title/tt2525628/,Sis,"Perihan Savas, Halil Ergün, Erdal Özyagcilar, Ülkü Ülker",N/A,Faruk Turgut,N/A,"Drama, Romance",N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",73 min
371005,https://m.media-amazon.com/images/M/MV5BNTJjOTMxNDktMDBlNi00OTMzLTg5NTktZDc2MjE0NmEyMTZhXkEyXkFqcGdeQXVyNDQ0MDA3Nw@@._V1_SX300.jpg,https://www.imdb.com/title/tt2525718/,Darken,"John Johnson, Whisper Nicole, Codo Innianna Micelli, Leo Rogstad",N/A,John Johnson,09 Dec 2006,Fantasy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",105 min
371006,https://m.media-amazon.com/images/M/MV5BMGNkZGU1NTUtNzY4YS00NTlhLTlhNGQtZTAxZTVkOTJmMzFlXkEyXkFqcGdeQXVyMzU4MjI4NDc@._V1_SX300.jpg,https://www.imdb.com/title/tt2525786/,Departure,"Dan Alvarez, Chris Braibant, Mark L. Colbenson, Steve Crest",N/A,"Satie Gossett, Maria Kuracheva, Christophe Nizou",01 Feb 2013,Action,N/A,[],N/A
371007,https://m.media-amazon.com/images/M/MV5BMjYzMjM1MzEzMF5BMl5BanBnXkFtZTgwMTY4MjM5NzE@._V1_SX300.jpg,https://www.imdb.com/title/tt2525802/,What an Idiot,"Peter Benson, Julia Benson, Kerr Smith, Lochlyn Munro",N/A,Peter Benson,05 Dec 2014,"Comedy, Romance",1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",103 min
371008,https://m.media-amazon.com/images/M/MV5BMTQ2MzU5NDg1NF5BMl5BanBnXkFtZTgwNzA4NzM5NTE@._V1_SX300.jpg,https://www.imdb.com/title/tt2526048/,The Arrangement,"Tiffany Sheppard, Umberto Celisano, Dean Aylesworth, Paul Cummings",N/A,Trevor Mirosh,N/A,"Action, Crime, Thriller",N/A,[],47 min
371009,N/A,https://www.imdb.com/title/tt2526080/,North By Northwest: The Darwin Dili Yacht Rally,Gyton Grantley,N/A,Robert Schreiber,01 Jan 2013,Documentary,N/A,[],N/A
371010,https://m.media-amazon.com/images/M/MV5BNGJlMmMwY2EtZWYyNS00ZjViLWE1MzgtNGViNmM2N2ZmY2ViL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,https://www.imdb.com/title/tt2526102/,UFOs: The Secret History,"David Cherniack, Thomas Bullard, Budd Hopkins, David Jacobs",N/A,David Cherniack,13 Jul 2010,Documentary,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",102 min
371011,N/A,https://www.imdb.com/title/tt2526130/,Embers,"Zepyur Avazyan, Yura Hovhanissyan, Keti Khatchatryan, Ashot Haroutiounian",N/A,Tamara Stepanyan,05 Oct 2012,Documentary,1 win.,[],77 min
371012,N/A,https://www.imdb.com/title/tt2526132/,Anxiety,"Jin-hwa Kim, Bang-ho Kim",N/A,Hwan-ki Min,07 Oct 2012,Documentary,1 win.,[],95 min
371013,https://m.media-amazon.com/images/M/MV5BZjMzYjk1NjgtOTI5MS00MjdjLWEwYTktOWM2MWUzZDJlYWJkXkEyXkFqcGdeQXVyMTkyMTUwNzA@._V1_SX300.jpg,https://www.imdb.com/title/tt2526138/,Jiseul,"Min-chul Sung, Jung-won Yang, Young-soon Oh, Suk-bum Moon",N/A,Meul O,21 Mar 2013,"Drama, History, War",14 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",108 min
371014,N/A,https://www.imdb.com/title/tt2526140/,Wellang Trei,N/A,N/A,Tae-il Kim,07 Oct 2012,Documentary,1 win.,[],80 min
371015,https://m.media-amazon.com/images/M/MV5BZTAzYzg0MzctZGJhNC00NmI4LTk3YmQtNjY4Yzg2YjFiMTA4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,https://www.imdb.com/title/tt2526152/,The Russian Novel,"In-soo Kim, Shin-Hyo Kang, Seong-Hwan Kyeong, Jeong-seok Kim",N/A,Yeon-Shick Shin,19 Sep 2013,Drama,3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",140 min
371016,N/A,https://www.imdb.com/title/tt2526208/,God Forbid,N/A,N/A,Ron Ofer,08 Nov 2011,Documentary,N/A,[],90 min
371017,https://m.media-amazon.com/images/M/MV5BOTIwMjg2ZTUtMjk4My00ZmM0LWE3ZDUtZmRhOTI3OTAwZmIwXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,https://www.imdb.com/title/tt2526218/,The Rabbi's Daughter & the Midwife,N/A,N/A,Ron Ofer,N/A,Documentary,N/A,[],50 min
371018,N/A,https://www.imdb.com/title/tt2526236/,Religion(dot)com,N/A,N/A,Ron Ofer,22 Oct 2010,Documentary,N/A,[],50 min
371019,N/A,https://www.imdb.com/title/tt2526312/,Democracy Camp,N/A,N/A,"Ismail Elmokadem, Zahra Mackaoui",12 Dec 2012,Documentary,N/A,[],48 min
371020,https://m.media-amazon.com/images/M/MV5BODAyYzA2YzQtMTE5Zi00ODRmLWE0N2QtNDA3MGQ5ZjhjYWYzXkEyXkFqcGdeQXVyNjU2MDM3MTc@._V1_SX300.jpg,https://www.imdb.com/title/tt2526374/,Surviving Guazapa,"Roberto Josue Alegria, Geovanny Alvarado, Salvador Bermudez, Carlos Cruz",N/A,Roberto d'Avila Alegria,18 Jan 2008,"Action, Adventure, Drama, War",N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",113 min
371021,N/A,https://www.imdb.com/title/tt2526388/,Sunday Evening,"Joshua Danyel, Camelia Dee, Benjamin Mathes, Catalina Maynard",N/A,Jeffrey Lamont Brown,N/A,Thriller,N/A,[],N/A
371022,https://m.media-amazon.com/images/M/MV5BMTk2MzcyOTMyMl5BMl5BanBnXkFtZTcwOTYwNzQ1OQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526422/,Online,"Brad Allen, Morgan Ayres, Josh Breland, Brandon Chase",All Entertainment,Kevan Otto,N/A,Drama,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",94 min
371023,https://m.media-amazon.com/images/M/MV5BMjAwMzYyNTAyOV5BMl5BanBnXkFtZTcwMDAyMzcyOQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526462/,Erroll Garner: No One Can Hear You Read,"Steve Allen, George Avakian, Kim Garner, Nancy Giles",First Run Features,Atticus Brady,01 Apr 2013,Documentary,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",53 min
371024,N/A,https://www.imdb.com/title/tt2526482/,"Venimos de muy lejos, la película",N/A,N/A,Ricardo Pitterbarg,05 Sep 2013,Documentary,N/A,[],1 h 45 min
371025,https://m.media-amazon.com/images/M/MV5BNGM4MzNjODAtMWJjNy00NjYwLWJkMmMtZjQ4Y2EwMGMzNjYyXkEyXkFqcGdeQXVyNDg1NjA2OA@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526514/,Dragon Girls,"Xin Chenxi, Chen Xi, Huang Luolan, Yang Ziyu",N/A,Inigo Westmeier,28 Feb 2013,"Documentary, Action, Biography, Drama, Sport",1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",90 min
371026,https://m.media-amazon.com/images/M/MV5BOTA2YzJkMjMtYmJhNy00N2RlLTllMzAtMjhlYmRiZGM5NzViXkEyXkFqcGdeQXVyMTQ0Mjc1MTU@._V1_SX300.jpg,https://www.imdb.com/title/tt2526548/,Madaling araw mahabang gabi,"Angelica Panganiban, Boobay, Tutti Caringal, Kean Cipriano",N/A,Dante Nico Garcia,21 Jul 2012,Comedy,N/A,[],100 min
371027,N/A,https://www.imdb.com/title/tt2526556/,Dorm Boys,"Arron Villaflor, Renz Michael, Carlo Lazerna, Arvic Rivero",N/A,Armando A. Reyes,07 Nov 2012,Comedy,1 nomination.,[],90 min
371028,N/A,https://www.imdb.com/title/tt2526570/,Alero's Symphony,"Carol King, Bimbo Manuel, Chibuzor 'Faze' Oji, Ivie Okujaye",N/A,Izu Ojukwu,N/A,Drama,N/A,[],N/A
371029,https://m.media-amazon.com/images/M/MV5BMjE1Nzg0MjExNl5BMl5BanBnXkFtZTcwNDQxMjE0OQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526638/,"Truth Seekers, the Music of Souls","Clayton Landey, Andrew Fortinberry, Jackie Goldston, William Colquitt",N/A,Gaylord Parsons,N/A,Drama,N/A,[],93 min
371030,https://m.media-amazon.com/images/M/MV5BZTg3YWExZjYtYTE0MC00MGFiLWJmZjctMzM4ODcwYjQ1M2M1XkEyXkFqcGdeQXVyNDkwMzY5NjQ@._V1_SX300.jpg,https://www.imdb.com/title/tt2526660/,Rigodon,"Yam Concepcion, John James Uy, Max Eigenmann, Dante Ornedo",Viva Films,Erik Matti,21 Nov 2012,Drama,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",85 min
371031,https://m.media-amazon.com/images/M/MV5BNmIyZGI3NTktNWRjOC00NTVlLWFjNzctY2ZhMWEwODdkZjFiXkEyXkFqcGdeQXVyNTQxODAxNDA@._V1_SX300.jpg,https://www.imdb.com/title/tt2526664/,Italy in a Day,"Alessia Gatti, Luca Parmitano, Michele Rocco, Nikolas Grasso",Rai Cinema,Gabriele Salvatores,23 Sep 2014,Documentary,4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",75 min
371032,https://m.media-amazon.com/images/M/MV5BNDY1MTI4YzQtMTQxYS00MDVlLWE0ZmQtNjhhMzY5NTA3ZDZhXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526668/,24/7 in Love,"Kathryn Bernardo, Daniel Padilla, Bea Alonzo, Gerald Anderson",N/A,"Mae Czarina Cruz, John-D Lazatin, Dado C. Lumibao, Frasco Mortiz",21 Nov 2012,"Comedy, Drama, Romance",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",130 min
371033,N/A,https://www.imdb.com/title/tt2526670/,Omoi wa anata dake: I Thought About You,"Yôta Kawase, Osamu Shimokawa, Kyôsuke Sasaki, Hajime Mao",N/A,Yukio Kitazawa,03 Jan 1997,N/A,1 win.,[],61 min
